日期,是否市场开市,是否有行情,是否停牌,是否可交易,复牌首日,距离上次交易日天数,是否生成次日收益标签,数据质量状态
2016-11-16,True,True,False,True,False,1,True,正常
2016-11-17,True,True,False,True,False,1,True,正常
2016-11-18,True,True,False,True,False,1,True,正常
2016-11-21,True,True,False,True,False,3,True,正常
2016-11-22,True,True,False,True,False,1,True,正常
2016-11-23,True,True,False,True,False,1,True,正常
2016-11-24,True,True,False,True,False,1,True,正常
2016-11-25,True,True,False,True,False,1,True,正常
2016-11-28,True,True,False,True,False,3,True,正常
2016-11-29,True,True,False,True,False,1,True,正常
2016-11-30,True,True,False,True,False,1,True,正常
2016-12-01,True,True,False,True,False,1,True,正常
2016-12-02,True,True,False,True,False,1,True,正常
2016-12-05,True,True,False,True,False,3,True,正常
2016-12-06,True,True,False,True,False,1,True,正常
2016-12-07,True,True,False,True,False,1,True,正常
2016-12-08,True,True,False,True,False,1,True,正常
2016-12-09,True,True,False,True,False,1,True,正常
2016-12-12,True,True,False,True,False,3,True,正常
2016-12-13,True,True,False,True,False,1,True,正常
2016-12-14,True,True,False,True,False,1,True,正常
2016-12-15,True,True,False,True,False,1,True,正常
2016-12-16,True,True,False,True,False,1,True,正常
2016-12-19,True,True,False,True,False,3,True,正常
2016-12-20,True,True,False,True,False,1,True,正常
2016-12-21,True,True,False,True,False,1,True,正常
2016-12-22,True,True,False,True,False,1,True,正常
2016-12-23,True,True,False,True,False,1,True,正常
2016-12-26,True,True,False,True,False,3,True,正常
2016-12-27,True,True,False,True,False,1,True,正常
2016-12-28,True,True,False,True,False,1,True,正常
2016-12-29,True,True,False,True,False,1,True,正常
2016-12-30,True,True,False,True,False,1,True,正常
2017-01-03,True,True,False,True,False,4,True,正常
2017-01-04,True,True,False,True,False,1,True,正常
2017-01-05,True,True,False,True,False,1,True,正常
2017-01-06,True,True,False,True,False,1,True,正常
2017-01-09,True,True,False,True,False,3,True,正常
2017-01-10,True,True,False,True,False,1,True,正常
2017-01-11,True,True,False,True,False,1,True,正常
2017-01-12,True,True,False,True,False,1,True,正常
2017-01-13,True,True,False,True,False,1,True,正常
2017-01-16,True,True,False,True,False,3,True,正常
2017-01-17,True,True,False,True,False,1,True,正常
2017-01-18,True,True,False,True,False,1,True,正常
2017-01-19,True,True,False,True,False,1,True,正常
2017-01-20,True,True,False,True,False,1,True,正常
2017-01-23,True,True,False,True,False,3,True,正常
2017-01-24,True,True,False,True,False,1,True,正常
2017-01-25,True,True,False,True,False,1,True,正常
2017-01-26,True,True,False,True,False,1,True,正常
2017-02-03,True,True,False,True,False,8,True,正常
2017-02-06,True,True,False,True,False,3,True,正常
2017-02-07,True,True,False,True,False,1,True,正常
2017-02-08,True,True,False,True,False,1,True,正常
2017-02-09,True,True,False,True,False,1,True,正常
2017-02-10,True,True,False,True,False,1,True,正常
2017-02-13,True,True,False,True,False,3,True,正常
2017-02-14,True,True,False,True,False,1,True,正常
2017-02-15,True,True,False,True,False,1,True,正常
2017-02-16,True,True,False,True,False,1,True,正常
2017-02-17,True,True,False,True,False,1,True,正常
2017-02-20,True,True,False,True,False,3,True,正常
2017-02-21,True,True,False,True,False,1,True,正常
2017-02-22,True,True,False,True,False,1,True,正常
2017-02-23,True,True,False,True,False,1,True,正常
2017-02-24,True,True,False,True,False,1,True,正常
2017-02-27,True,True,False,True,False,3,True,正常
2017-02-28,True,True,False,True,False,1,True,正常
2017-03-01,True,True,False,True,False,1,True,正常
2017-03-02,True,True,False,True,False,1,True,正常
2017-03-03,True,True,False,True,False,1,True,正常
2017-03-06,True,True,False,True,False,3,True,正常
2017-03-07,True,True,False,True,False,1,True,正常
2017-03-08,True,True,False,True,False,1,True,正常
2017-03-09,True,True,False,True,False,1,True,正常
2017-03-10,True,True,False,True,False,1,True,正常
2017-03-13,True,True,False,True,False,3,True,正常
2017-03-14,True,True,False,True,False,1,True,正常
2017-03-15,True,True,False,True,False,1,True,正常
2017-03-16,True,True,False,True,False,1,True,正常
2017-03-17,True,True,False,True,False,1,True,正常
2017-03-20,True,True,False,True,False,3,True,正常
2017-03-21,True,True,False,True,False,1,True,正常
2017-03-22,True,True,False,True,False,1,True,正常
2017-03-23,True,True,False,True,False,1,True,正常
2017-03-24,True,True,False,True,False,1,True,正常
2017-03-27,True,True,False,True,False,3,True,正常
2017-03-28,True,True,False,True,False,1,True,正常
2017-03-29,True,True,False,True,False,1,True,正常
2017-03-30,True,True,False,True,False,1,True,正常
2017-03-31,True,True,False,True,False,1,True,正常
2017-04-05,True,True,False,True,False,5,True,正常
2017-04-06,True,True,False,True,False,1,True,正常
2017-04-07,True,True,False,True,False,1,True,正常
2017-04-10,True,True,False,True,False,3,True,正常
2017-04-11,True,True,False,True,False,1,True,正常
2017-04-12,True,True,False,True,False,1,True,正常
2017-04-13,True,True,False,True,False,1,True,正常
2017-04-14,True,True,False,True,False,1,True,正常
2017-04-17,True,True,False,True,False,3,True,正常
2017-04-18,True,True,False,True,False,1,True,正常
2017-04-19,True,True,False,True,False,1,True,正常
2017-04-20,True,True,False,True,False,1,True,正常
2017-04-21,True,True,False,True,False,1,True,正常
2017-04-24,True,True,False,True,False,3,True,正常
2017-04-25,True,True,False,True,False,1,True,正常
2017-04-26,True,True,False,True,False,1,True,正常
2017-04-27,True,True,False,True,False,1,True,正常
2017-04-28,True,True,False,True,False,1,True,正常
2017-05-02,True,True,False,True,False,4,True,正常
2017-05-03,True,True,False,True,False,1,False,正常
2017-05-04,True,False,,False,False,1,False,市场开市但无行情
2017-05-05,True,False,,False,False,2,False,市场开市但无行情
2017-05-08,True,False,,False,False,5,False,市场开市但无行情
2017-05-09,True,False,,False,False,6,False,市场开市但无行情
2017-05-10,True,False,,False,False,7,False,市场开市但无行情
2017-05-11,True,True,False,True,True,8,True,复牌首日
2017-05-12,True,True,False,True,False,1,True,正常
2017-05-15,True,True,False,True,False,3,True,正常
2017-05-16,True,True,False,True,False,1,True,正常
2017-05-17,True,True,False,True,False,1,True,正常
2017-05-18,True,True,False,True,False,1,True,正常
2017-05-19,True,True,False,True,False,1,True,正常
2017-05-22,True,True,False,True,False,3,True,正常
2017-05-23,True,True,False,True,False,1,True,正常
2017-05-24,True,True,False,True,False,1,True,正常
2017-05-25,True,True,False,True,False,1,True,正常
2017-05-26,True,True,False,True,False,1,True,正常
2017-05-31,True,True,False,True,False,5,True,正常
2017-06-01,True,True,False,True,False,1,True,正常
2017-06-02,True,True,False,True,False,1,True,正常
2017-06-05,True,True,False,True,False,3,True,正常
2017-06-06,True,True,False,True,False,1,True,正常
2017-06-07,True,True,False,True,False,1,True,正常
2017-06-08,True,True,False,True,False,1,True,正常
2017-06-09,True,True,False,True,False,1,True,正常
2017-06-12,True,True,False,True,False,3,True,正常
2017-06-13,True,True,False,True,False,1,True,正常
2017-06-14,True,True,False,True,False,1,True,正常
2017-06-15,True,True,False,True,False,1,True,正常
2017-06-16,True,True,False,True,False,1,True,正常
2017-06-19,True,True,False,True,False,3,True,正常
2017-06-20,True,True,False,True,False,1,True,正常
2017-06-21,True,True,False,True,False,1,True,正常
2017-06-22,True,True,False,True,False,1,True,正常
2017-06-23,True,True,False,True,False,1,True,正常
2017-06-26,True,True,False,True,False,3,True,正常
2017-06-27,True,True,False,True,False,1,True,正常
2017-06-28,True,True,False,True,False,1,True,正常
2017-06-29,True,True,False,True,False,1,True,正常
2017-06-30,True,True,False,True,False,1,True,正常
2017-07-03,True,True,False,True,False,3,True,正常
2017-07-04,True,True,False,True,False,1,True,正常
2017-07-05,True,True,False,True,False,1,True,正常
2017-07-06,True,True,False,True,False,1,True,正常
2017-07-07,True,True,False,True,False,1,True,正常
2017-07-10,True,True,False,True,False,3,True,正常
2017-07-11,True,True,False,True,False,1,True,正常
2017-07-12,True,True,False,True,False,1,True,正常
2017-07-13,True,True,False,True,False,1,True,正常
2017-07-14,True,True,False,True,False,1,True,正常
2017-07-17,True,True,False,True,False,3,True,正常
2017-07-18,True,True,False,True,False,1,True,正常
2017-07-19,True,True,False,True,False,1,True,正常
2017-07-20,True,True,False,True,False,1,True,正常
2017-07-21,True,True,False,True,False,1,True,正常
2017-07-24,True,True,False,True,False,3,True,正常
2017-07-25,True,True,False,True,False,1,True,正常
2017-07-26,True,True,False,True,False,1,True,正常
2017-07-27,True,True,False,True,False,1,True,正常
2017-07-28,True,True,False,True,False,1,True,正常
2017-07-31,True,True,False,True,False,3,True,正常
2017-08-01,True,True,False,True,False,1,True,正常
2017-08-02,True,True,False,True,False,1,True,正常
2017-08-03,True,True,False,True,False,1,True,正常
2017-08-04,True,True,False,True,False,1,True,正常
2017-08-07,True,True,False,True,False,3,True,正常
2017-08-08,True,True,False,True,False,1,True,正常
2017-08-09,True,True,False,True,False,1,True,正常
2017-08-10,True,True,False,True,False,1,True,正常
2017-08-11,True,True,False,True,False,1,True,正常
2017-08-14,True,True,False,True,False,3,True,正常
2017-08-15,True,True,False,True,False,1,True,正常
2017-08-16,True,True,False,True,False,1,True,正常
2017-08-17,True,True,False,True,False,1,True,正常
2017-08-18,True,True,False,True,False,1,True,正常
2017-08-21,True,True,False,True,False,3,True,正常
2017-08-22,True,True,False,True,False,1,True,正常
2017-08-23,True,True,False,True,False,1,True,正常
2017-08-24,True,True,False,True,False,1,True,正常
2017-08-25,True,True,False,True,False,1,True,正常
2017-08-28,True,True,False,True,False,3,True,正常
2017-08-29,True,True,False,True,False,1,True,正常
2017-08-30,True,True,False,True,False,1,True,正常
2017-08-31,True,True,False,True,False,1,True,正常
2017-09-01,True,True,False,True,False,1,True,正常
2017-09-04,True,True,False,True,False,3,True,正常
2017-09-05,True,True,False,True,False,1,True,正常
2017-09-06,True,True,False,True,False,1,True,正常
2017-09-07,True,True,False,True,False,1,True,正常
2017-09-08,True,True,False,True,False,1,True,正常
2017-09-11,True,True,False,True,False,3,True,正常
2017-09-12,True,True,False,True,False,1,True,正常
2017-09-13,True,True,False,True,False,1,True,正常
2017-09-14,True,True,False,True,False,1,True,正常
2017-09-15,True,True,False,True,False,1,True,正常
2017-09-18,True,True,False,True,False,3,True,正常
2017-09-19,True,True,False,True,False,1,True,正常
2017-09-20,True,True,False,True,False,1,True,正常
2017-09-21,True,True,False,True,False,1,True,正常
2017-09-22,True,True,False,True,False,1,True,正常
2017-09-25,True,True,False,True,False,3,True,正常
2017-09-26,True,True,False,True,False,1,True,正常
2017-09-27,True,True,False,True,False,1,True,正常
2017-09-28,True,True,False,True,False,1,True,正常
2017-09-29,True,True,False,True,False,1,True,正常
2017-10-09,True,True,False,True,False,10,True,正常
2017-10-10,True,True,False,True,False,1,True,正常
2017-10-11,True,True,False,True,False,1,True,正常
2017-10-12,True,True,False,True,False,1,True,正常
2017-10-13,True,True,False,True,False,1,True,正常
2017-10-16,True,True,False,True,False,3,True,正常
2017-10-17,True,True,False,True,False,1,True,正常
2017-10-18,True,True,False,True,False,1,True,正常
2017-10-19,True,True,False,True,False,1,True,正常
2017-10-20,True,True,False,True,False,1,True,正常
2017-10-23,True,True,False,True,False,3,True,正常
2017-10-24,True,True,False,True,False,1,True,正常
2017-10-25,True,True,False,True,False,1,False,正常
2017-10-26,True,False,,False,False,1,False,市场开市但无行情
2017-10-27,True,False,,False,False,2,False,市场开市但无行情
2017-10-30,True,False,,False,False,5,False,市场开市但无行情
2017-10-31,True,False,,False,False,6,False,市场开市但无行情
2017-11-01,True,False,,False,False,7,False,市场开市但无行情
2017-11-02,True,True,False,True,True,8,True,复牌首日
2017-11-03,True,True,False,True,False,1,True,正常
2017-11-06,True,True,False,True,False,3,True,正常
2017-11-07,True,True,False,True,False,1,True,正常
2017-11-08,True,True,False,True,False,1,True,正常
2017-11-09,True,True,False,True,False,1,True,正常
2017-11-10,True,True,False,True,False,1,True,正常
2017-11-13,True,True,False,True,False,3,True,正常
2017-11-14,True,True,False,True,False,1,True,正常
2017-11-15,True,True,False,True,False,1,True,正常
2017-11-16,True,True,False,True,False,1,True,正常
2017-11-17,True,True,False,True,False,1,True,正常
2017-11-20,True,True,False,True,False,3,True,正常
2017-11-21,True,True,False,True,False,1,True,正常
2017-11-22,True,True,False,True,False,1,True,正常
2017-11-23,True,True,False,True,False,1,True,正常
2017-11-24,True,True,False,True,False,1,True,正常
2017-11-27,True,True,False,True,False,3,True,正常
2017-11-28,True,True,False,True,False,1,True,正常
2017-11-29,True,True,False,True,False,1,True,正常
2017-11-30,True,True,False,True,False,1,True,正常
2017-12-01,True,True,False,True,False,1,True,正常
2017-12-04,True,True,False,True,False,3,True,正常
2017-12-05,True,True,False,True,False,1,True,正常
2017-12-06,True,True,False,True,False,1,True,正常
2017-12-07,True,True,False,True,False,1,True,正常
2017-12-08,True,True,False,True,False,1,True,正常
2017-12-11,True,True,False,True,False,3,True,正常
2017-12-12,True,True,False,True,False,1,True,正常
2017-12-13,True,True,False,True,False,1,True,正常
2017-12-14,True,True,False,True,False,1,True,正常
2017-12-15,True,True,False,True,False,1,True,正常
2017-12-18,True,True,False,True,False,3,True,正常
2017-12-19,True,True,False,True,False,1,True,正常
2017-12-20,True,True,False,True,False,1,True,正常
2017-12-21,True,True,False,True,False,1,True,正常
2017-12-22,True,True,False,True,False,1,True,正常
2017-12-25,True,True,False,True,False,3,True,正常
2017-12-26,True,True,False,True,False,1,True,正常
2017-12-27,True,True,False,True,False,1,True,正常
2017-12-28,True,True,False,True,False,1,True,正常
2017-12-29,True,True,False,True,False,1,True,正常
2018-01-02,True,True,False,True,False,4,True,正常
2018-01-03,True,True,False,True,False,1,True,正常
2018-01-04,True,True,False,True,False,1,True,正常
2018-01-05,True,True,False,True,False,1,True,正常
2018-01-08,True,True,False,True,False,3,True,正常
2018-01-09,True,True,False,True,False,1,True,正常
2018-01-10,True,True,False,True,False,1,True,正常
2018-01-11,True,True,False,True,False,1,True,正常
2018-01-12,True,True,False,True,False,1,True,正常
2018-01-15,True,True,False,True,False,3,True,正常
2018-01-16,True,True,False,True,False,1,True,正常
2018-01-17,True,True,False,True,False,1,True,正常
2018-01-18,True,True,False,True,False,1,True,正常
2018-01-19,True,True,False,True,False,1,True,正常
2018-01-22,True,True,False,True,False,3,True,正常
2018-01-23,True,True,False,True,False,1,True,正常
2018-01-24,True,True,False,True,False,1,True,正常
2018-01-25,True,True,False,True,False,1,True,正常
2018-01-26,True,True,False,True,False,1,True,正常
2018-01-29,True,True,False,True,False,3,True,正常
2018-01-30,True,True,False,True,False,1,True,正常
2018-01-31,True,True,False,True,False,1,True,正常
2018-02-01,True,True,False,True,False,1,True,正常
2018-02-02,True,True,False,True,False,1,True,正常
2018-02-05,True,True,False,True,False,3,True,正常
2018-02-06,True,True,False,True,False,1,True,正常
2018-02-07,True,True,False,True,False,1,True,正常
2018-02-08,True,True,False,True,False,1,True,正常
2018-02-09,True,True,False,True,False,1,True,正常
2018-02-12,True,True,False,True,False,3,True,正常
2018-02-13,True,True,False,True,False,1,True,正常
2018-02-14,True,True,False,True,False,1,True,正常
2018-02-22,True,True,False,True,False,8,True,正常
2018-02-23,True,True,False,True,False,1,True,正常
2018-02-26,True,True,False,True,False,3,True,正常
2018-02-27,True,True,False,True,False,1,True,正常
2018-02-28,True,True,False,True,False,1,True,正常
2018-03-01,True,True,False,True,False,1,True,正常
2018-03-02,True,True,False,True,False,1,True,正常
2018-03-05,True,True,False,True,False,3,True,正常
2018-03-06,True,True,False,True,False,1,True,正常
2018-03-07,True,True,False,True,False,1,True,正常
2018-03-08,True,True,False,True,False,1,True,正常
2018-03-09,True,True,False,True,False,1,True,正常
2018-03-12,True,True,False,True,False,3,True,正常
2018-03-13,True,True,False,True,False,1,True,正常
2018-03-14,True,True,False,True,False,1,True,正常
2018-03-15,True,True,False,True,False,1,True,正常
2018-03-16,True,True,False,True,False,1,True,正常
2018-03-19,True,True,False,True,False,3,True,正常
2018-03-20,True,True,False,True,False,1,True,正常
2018-03-21,True,True,False,True,False,1,True,正常
2018-03-22,True,True,False,True,False,1,True,正常
2018-03-23,True,True,False,True,False,1,True,正常
2018-03-26,True,True,False,True,False,3,True,正常
2018-03-27,True,True,False,True,False,1,True,正常
2018-03-28,True,True,False,True,False,1,True,正常
